2021-05-24 14:23:30,503 data_manager.py[line:1368] INFO {'notice_info_': {'distance': '0 s 0', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'audio_light_info': 0, 'headlight_info': 0, 'side_light_info': 1, 'theta_error': 0, 'mapId': ''}}
2021-05-24 14:23:40,533 data_manager.py[line:1368] INFO {'notice_info_': {'distance': '0 s 0', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'audio_light_info': 0, 'headlight_info': 0, 'side_light_info': 1, 'theta_error': 0, 'mapId': ''}}
2021-05-24 14:23:50,546 data_manager.py[line:1368] INFO {'notice_info_': {'distance': '0 s 0', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'audio_light_info': 0, 'headlight_info': 0, 'side_light_info': 1, 'theta_error': 0, 'mapId': ''}}
2021-05-24 14:24:00,581 data_manager.py[line:1368] INFO {'notice_info_': {'distance': '0 s 0', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'audio_light_info': 0, 'headlight_info': 0, 'side_light_info': 1, 'theta_error': 0, 'mapId': '1354291518018142209'}}
2021-05-24 14:24:01,946 data_manager.py[line:939] INFO {'点击地点': [[114.524123, 30.506908], [114.525718, 30.506451], [114.524123, 30.50645], [114.523591, 30.50645], [114.52306, 30.506451], [114.522528, 30.50645], [114.521996, 30.506451], [114.521996, 30.505994], [114.522528, 30.505991], [114.52306, 30.505992], [114.523591, 30.505992], [114.524123, 30.505992], [114.524654, 30.505992], [114.525718, 30.505992], [114.52625, 30.505993], [114.525719, 30.505535], [114.525185, 30.505533], [114.524656, 30.505534], [114.524123, 30.505534], [114.523592, 30.505534], [114.523059, 30.505534], [114.522527, 30.505535], [114.521996, 30.505534], [114.52306, 30.505076], [114.523591, 30.505076], [114.524122, 30.505076], [114.524655, 30.505076], [114.525187, 30.505076], [114.525719, 30.505076], [114.525187, 30.504618], [114.524654, 30.504618], [114.524121, 30.504618], [114.523591, 30.504618]]}
2021-05-24 14:24:09,487 data_manager.py[line:964] INFO {'全部距离': 2004.9174035776105}
2021-05-24 14:24:10,613 data_manager.py[line:1368] INFO {'notice_info_': {'distance': '157.11 s 0', 'path_info': '当前目标点:1 目标点总数: 33', 'control_info': '', 'draw_info': 0, 'audio_light_info': 0, 'headlight_info': 0, 'side_light_info': 1, 'theta_error': -54.45, 'mapId': '1354291518018142209'}}
2021-05-24 14:24:20,646 data_manager.py[line:1368] INFO {'notice_info_': {'distance': '0 s 923.3', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'audio_light_info': 0, 'headlight_info': 0, 'side_light_info': 1, 'theta_error': 44.59, 'mapId': '1354291518018142209'}}
2021-05-24 14:24:30,667 data_manager.py[line:1368] INFO {'notice_info_': {'distance': '0 s 923.3', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'audio_light_info': 0, 'headlight_info': 0, 'side_light_info': 1, 'theta_error': 44.59, 'mapId': ''}}
2021-05-24 14:24:37,372 data_manager.py[line:964] INFO {'全部距离': 2138.56499611346}
2021-05-24 14:24:40,679 data_manager.py[line:1368] INFO {'notice_info_': {'distance': '57.88 s 923.3', 'path_info': '当前目标点:0 目标点总数: 33', 'control_info': '', 'draw_info': 0, 'audio_light_info': 0, 'headlight_info': 0, 'side_light_info': 1, 'theta_error': -0.13, 'mapId': ''}}
